Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
rude-29.txt,1,16,1.00,89.42,1.00,25.77,5.33,6.25,87.50,62.50,37.50,12.50,6.25,0.00,0.00,6.25,0.00,25.00,0.00,6.25,18.75,12.50,0.00,0.00,25.00,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00,0.00,6.25,12.50,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,31.25,12.50,0.00,0.00,0.00,6.25,0.00,0.00,0.00,12.50,0.00,0.00
rude-30.txt,1,11,56.58,50.00,31.94,99.00,3.67,9.09,81.82,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,18.18,0.00,0.00,9.09,27.27,0.00,0.00,9.09,0.00,18.18,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,18.18,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rude-31.txt,1,21,17.96,17.04,37.24,95.81,5.25,19.05,90.48,57.14,19.05,9.52,9.52,0.00,0.00,0.00,0.00,9.52,9.52,4.76,14.29,9.52,4.76,0.00,23.81,4.76,4.76,0.00,4.76,0.00,14.29,9.52,4.76,0.00,4.76,0.00,4.76,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,14.29,0.00,9.52,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,23.81,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00
rude-32.txt,1,25,62.61,50.00,43.37,1.00,12.50,0.00,84.00,48.00,16.00,16.00,8.00,0.00,8.00,0.00,0.00,0.00,4.00,16.00,8.00,4.00,4.00,4.00,20.00,4.00,0.00,0.00,0.00,4.00,4.00,0.00,4.00,0.00,4.00,0.00,8.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,4.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,12.00,0.00,4.00,0.00,12.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,24.00,0.00,12.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,8.00,0.00,0.00
rude-33.txt,1,32,63.62,98.49,1.00,1.42,6.40,9.38,100.00,53.12,25.00,18.75,3.12,0.00,3.12,12.50,0.00,6.25,6.25,12.50,3.12,6.25,0.00,0.00,21.88,6.25,3.12,3.12,3.12,0.00,3.12,0.00,3.12,0.00,0.00,3.12,21.88,3.12,0.00,12.50,0.00,12.50,6.25,0.00,0.00,6.25,0.00,0.00,3.12,0.00,3.12,0.00,6.25,0.00,6.25,0.00,0.00,9.38,0.00,3.12,3.12,3.12,0.00,3.12,15.62,0.00,9.38,3.12,6.25,0.00,9.38,0.00,0.00,9.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.62,12.50,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00
rude-34.txt,1,37,2.25,39.34,1.00,2.30,9.25,5.41,91.89,62.16,21.62,10.81,2.70,0.00,0.00,8.11,0.00,10.81,8.11,2.70,18.92,8.11,8.11,2.70,24.32,5.41,0.00,2.70,0.00,0.00,13.51,5.41,8.11,0.00,0.00,0.00,13.51,0.00,0.00,10.81,0.00,24.32,2.70,2.70,5.41,5.41,0.00,8.11,2.70,0.00,2.70,0.00,2.70,0.00,0.00,2.70,0.00,5.41,0.00,2.70,2.70,0.00,2.70,0.00,21.62,0.00,5.41,0.00,0.00,5.41,0.00,0.00,0.00,0.00,0.00,0.00,2.70,2.70,0.00,0.00,0.00,0.00,13.51,8.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.41,0.00,0.00
rude-36.txt,1,14,5.53,50.00,99.00,25.77,7.00,14.29,100.00,42.86,21.43,14.29,7.14,0.00,7.14,0.00,0.00,7.14,0.00,0.00,14.29,7.14,0.00,0.00,14.29,7.14,0.00,0.00,0.00,7.14,14.29,7.14,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,28.57,7.14,14.29,7.14,0.00,0.00,7.14,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rude-37.txt,1,40,8.19,99.00,1.00,1.00,6.67,10.00,82.50,65.00,22.50,20.00,2.50,0.00,12.50,5.00,0.00,2.50,5.00,12.50,12.50,12.50,7.50,2.50,25.00,2.50,2.50,7.50,0.00,0.00,5.00,0.00,5.00,0.00,2.50,2.50,22.50,0.00,0.00,2.50,5.00,15.00,2.50,7.50,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.50,0.00,0.00,2.50,20.00,2.50,7.50,0.00,2.50,5.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,20.00,7.50,0.00,0.00,0.00,5.00,0.00,0.00,0.00,7.50,0.00,0.00
rude-38.txt,1,24,17.96,99.00,7.84,1.00,12.00,12.50,91.67,58.33,37.50,20.83,4.17,0.00,12.50,0.00,4.17,16.67,8.33,8.33,8.33,4.17,0.00,0.00,25.00,8.33,4.17,8.33,0.00,4.17,4.17,0.00,4.17,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,12.50,4.17,0.00,0.00,0.00,4.17,4.17,12.50,0.00,8.33,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,20.83,4.17,0.00,0.00,0.00,4.17,0.00,4.17,0.00,8.33,0.00,0.00
rude-41.txt,1,59,5.92,75.12,45.61,25.77,11.80,13.56,89.83,61.02,25.42,23.73,10.17,0.00,13.56,0.00,0.00,1.69,8.47,5.08,15.25,5.08,6.78,3.39,25.42,6.78,5.08,3.39,1.69,0.00,6.78,3.39,3.39,0.00,3.39,0.00,18.64,0.00,0.00,0.00,0.00,15.25,3.39,3.39,5.08,3.39,0.00,6.78,1.69,1.69,0.00,0.00,3.39,0.00,0.00,3.39,0.00,1.69,0.00,0.00,0.00,1.69,0.00,8.47,10.17,0.00,5.08,0.00,3.39,1.69,0.00,0.00,1.69,0.00,0.00,0.00,6.78,5.08,0.00,0.00,1.69,0.00,18.64,5.08,1.69,0.00,0.00,3.39,0.00,1.69,0.00,6.78,0.00,0.00
